rank,feature,importance_mean,importance_std
1,V605,0.014706218073724232,0.0037347082581471232
2,V704,0.008022266785060416,0.0024020466786556665
3,V715,0.007175674355172538,0.0026867736543957155
4,V501,0.006798811531767424,0.0022851786394054597
5,V716,0.005369038363222171,0.004015131434686009
6,V602,0.004040912367462238,0.0024805601858775925
7,V511,0.0035407417163396977,0.0017505400999622116
8,V743B,0.0027829374368910937,0.0014012215832107503
9,V719,0.0022972473478267623,0.0003492888603622577
10,V509,0.0022395304474176186,0.0022260225917942944
11,V633D,0.0020856399558715653,0.00046927913771289324
12,V631,0.0017372850751786592,0.00077097951181882
13,V732,0.0015571242241039748,0.0017239173759809729
14,V504,0.0014522906195698997,0.0010575802934980312
15,V743F,0.0012832043890620205,0.0013522539821027792
16,V510,0.0012049668681908636,0.001424494566600257
17,V531,0.0008516623968482258,0.0005174672689071429
18,V525,0.0007444920756983849,0.0017946271399185852
19,V613,0.0006101875179680416,0.0004206203736221285
20,V614,0.0006016903666380413,0.0006244368213141882
21,V626,0.0005855386981515442,0.0005726129913413676
22,V717,0.0005836834867778195,0.0004657659308393876
23,V624,0.0005763122079990302,0.0006914025133094318
24,V729,0.0005613713835770954,0.0003641685048538989
25,V627,0.0005601463775936881,0.0006860381557978785
26,V503,0.0005468200119244242,0.00032792100496091065
27,V743E,0.0005460977540613957,0.0015201669336612266
28,V633A,0.0005254709192077748,0.0002063650690730681
29,V743A,0.0004788640441626561,0.0005432670773467301
30,V529,0.0004544701388860428,0.00036548893338648634
31,V743D,0.00043411946145066604,0.00033177701347889384
32,V507,0.00036625554616158683,0.00043022939910461575
33,V702,0.0003590896152066018,0.0006579883452299607
34,V508,0.00031205080163552166,0.0011763523322300643
35,V528,0.00025461713960403347,0.00039808984173764607
36,V633B,0.0002516997843140745,0.00014590211067051092
37,V721,0.000240072848910855,0.0014085411646435708
38,V743C,8.94183558296439e-05,0.00019526997094852119
39,V629,4.877364863438149e-05,0.00023381432896698115
40,V705,4.70246516523017e-05,0.0002938145407583943
41,V623,5.1691003925361896e-06,0.0004022855926313997
42,V744C,0.0,0.0
43,V744E,0.0,0.0
44,V744B,0.0,0.0
45,V744D,0.0,0.0
46,V744A,0.0,0.0
47,ID1,0.0,0.0
48,V731,0.0,0.0
49,V701,0.0,0.0
50,V633C,0.0,0.0
51,V532,0.0,0.0
52,V530,0.0,0.0
53,V502,-4.394443429500683e-05,7.278620955276992e-05
54,V628,-0.00010202954459506882,0.0006128241151542195
55,V512,-0.00012422835244472186,0.0008674836633385747
56,V714,-0.00013676165065651762,0.0001174269781227792
57,V741,-0.00017515461274930644,0.0002892698713856893
58,V513,-0.0002214428446195423,0.0006239326032838955
59,V536,-0.00027539267460570854,0.00018422021682990258
60,V625,-0.0004554260684104916,0.0003333239756394477
61,V527,-0.0005125552491859346,0.0004809313037330473
62,V730,-0.004311645770755253,0.0019426112711049969
