rank,feature,importance_mean,importance_std
1,SREGION,0.032565629872585246,0.004930973954312289
2,SDISTRI,0.005331792516558827,0.0019659332450577965
3,S108N,0.0037766863658958314,0.0017379082847191973
4,S119,0.0033812289429968685,0.0021130382423850693
5,S119NB,0.002716595927881856,0.0011256412538918892
6,SPROVIN,0.0026845899912054366,0.0025615185814967935
7,S490AB,0.0024786473668036027,0.0012902100383810691
8,S490AC,0.002478463261858144,0.0011849876272454576
9,S119D,0.002065841593272529,0.001268878989461798
10,S802,0.0018431029330750212,0.0009913003457980827
11,S816W,0.0016478383955112364,0.0008112543551787197
12,S1032X,0.0011546637323170887,0.0007285919469074822
13,S815AA,0.0010659393105128053,0.0007334041104615657
14,S803AG,0.0010485201502862917,0.00043484040735662465
15,S500A,0.000980004786728572,0.0008958646042947019
16,S618D,0.0009786877282724094,0.0003988646983298815
17,S809,0.0009487494317530265,0.000845413598641255
18,S816G,0.0009264160856739497,0.0005857429184014825
19,S490AF,0.0008940702629443539,0.0014900290395847276
20,S816B,0.0008354115949294805,0.0003248021199143984
21,S802D,0.0008273109773281994,0.0010799242170870691
22,S490BC,0.0007660465162387572,0.0003530938203563993
23,S704N,0.0007292113652231554,0.0009976207420194167
24,S1002B,0.00072752609687603,0.000638122507201486
25,S490AG,0.0006439566135453119,0.001085198959283878
26,S1032A,0.0006328819929785364,0.0005990981281683423
27,S618F,0.0006014425330574577,0.0002803349013437859
28,S500B,0.0005709235978638076,0.00026680836206829624
29,S618E,0.0005345982759280185,0.0006355303251425303
30,S815AD,0.000509163469613479,0.0012124976410337318
31,S1032C,0.0004701332211709319,0.0002611667443903735
32,S1032I,0.000454101928994984,0.000312071737316404
33,S490AX,0.00042179859202204904,0.0002938894475302079
34,S1032B,0.0004006548471291893,0.0002257464926683415
35,S1002D,0.0003975109011370659,0.00020934785588009436
36,S1002A,0.00039622216651866713,0.00029740699506278933
37,S815AZ,0.0003569370035362359,0.00013572758528590878
38,S816A,0.00035637052678091734,0.0004996535106307007
39,S1032L,0.0003345753336194024,0.00017409206043763367
40,S1032J,0.00030741277320110635,0.00040526137794442437
41,S1034A,0.00029870319308786806,0.000586397092124043
42,S1032D,0.0002915655859706397,0.0002502505902462918
43,S807,0.00028427219774572373,0.0005931459862522747
44,S618K,0.0002455110257619501,0.0004299090061296348
45,S490AA,0.00024260783239084353,0.00020206680948753764
46,S806AZ,0.00021054524803891064,0.00038277855880393044
47,S816AL,0.00020408741302810156,0.0001229640965363024
48,S239C,0.00020267122113974966,0.00029863763363938573
49,SSEMES,0.00014600938368744358,0.00023937599962209422
50,S239F,0.00013087029240113068,0.00021573450442254283
51,S816AB,0.0001095707664005685,0.00017739702353722377
52,S803AM,0.00010396264652275573,0.00031273758255454827
53,S816AA,9.8000478672855e-05,0.00018703881155971537
54,S816F,9.587619084037898e-05,0.00016017497761547996
55,S239A,9.437502743872006e-05,0.0003127569621690798
56,S239X,8.764811596913742e-05,0.00020944312869451598
57,S816Z,8.331456879081174e-05,0.0001143875958412459
58,S815AB,7.789055385848768e-05,6.983003676247983e-05
59,S618M,5.52031598073303e-05,0.00038815095060546704
60,S490AE,5.08979364667835e-05,0.00011173274206551953
61,S815AC,4.415686307830402e-05,0.0001631571964433947
62,S490BD,4.310888108095175e-05,0.0009778868583050736
63,S490BB,3.9979097007725174e-05,0.00012131180725491807
64,S816AC,2.829551392895535e-05,0.00011260572288794095
65,S490,2.649695023075882e-05,0.00152489134251458
66,S1032H,2.2673232132253142e-05,0.00011905993007740921
67,S490BX,1.7150083767762207e-05,0.000318502728183216
68,S108Y,1.6526959336893298e-05,0.0007872036154136031
69,S618J,1.5946320662663106e-05,4.181488276999928e-05
70,S816AK,8.851199302110462e-06,5.3615255558499636e-05
71,S618G,8.015646087966566e-06,7.49681799343816e-05
72,S239B,0.0,0.0
73,S816D,0.0,0.0
74,S1034B,0.0,0.0
75,SVER,0.0,0.0
76,S815AE,0.0,0.0
77,S1032E,0.0,0.0
78,S500C,0.0,0.0
79,S618C,0.0,0.0
80,S618B,0.0,0.0
81,S239D,0.0,0.0
82,S803AF,0.0,0.0
83,S500D,0.0,0.0
84,S618L,0.0,0.0
85,S239E,0.0,0.0
86,S490AD,0.0,0.0
87,ID1,0.0,0.0
88,S804C,-1.826887535953207e-06,5.628788233891342e-06
89,S816L,-1.698014074115554e-05,0.0009989666919578263
90,S816AF,-2.287149899663869e-05,0.00016964986395000362
91,S1033,-4.785312390687135e-05,0.0003308497972261656
92,S618I,-5.88852587170526e-05,0.00013441317071869247
93,S1032N,-9.120275760883256e-05,0.0002573980280985544
94,S489D,-9.409178906106448e-05,0.0002286599903862289
95,S119NA,-9.509728530176324e-05,0.0002742411621083743
96,S1032F,-0.00010399097036053461,9.928397641449119e-05
97,S816AG,-0.00010823954602553106,0.00016375587064106672
98,S816E,-0.00012200493118014558,0.0001188312934202122
99,S816M,-0.00012553124898209884,0.00042247709424409147
100,S802E,-0.0001362801454145653,0.00037240905171939535
101,S816J,-0.0001422281513456062,0.0004041254750797795
102,S1002E,-0.00015066865500007093,0.0003260174599839062
103,S816AW,-0.00015409583936982775,0.0001271188417332787
104,S1026,-0.00015432243007198476,0.00029489113307468325
105,S802I,-0.00015439323966638755,0.00029966288928978
106,S816AD,-0.00015551203125817962,0.00026758111104510814
107,S816AI,-0.00015583775539248132,0.00032212714327282293
108,S618A,-0.00015644671790450518,0.0003731981597852255
109,S816I,-0.00018879254063407884,0.00031820892442117275
110,S816AZ,-0.00019584517623799275,0.00031719329732761176
111,S816K,-0.0002064382915627568,0.0001901820722730972
112,S618H,-0.00021139496317192918,0.0002303202708046286
113,S704Y,-0.0002229227651429818,0.0009216029154576575
114,S816H,-0.0002514731936118286,0.0003470714847076379
115,S618X,-0.00026074925048043723,0.00034637419001051355
