rank,feature,importance_mean,importance_std
1,V305_06,0.02484374446800047,0.005038490023401877
2,V211,0.017264370453138934,0.004823951015015
3,V212,0.012622284629078136,0.002463497967677198
4,V228,0.011007790471577768,0.0023612994275876483
5,V238,0.009984917556389269,0.0013072739642416666
6,V222,0.008280672237965574,0.0022829005677582324
7,V317,0.004926506721954834,0.002449380018155391
8,V337,0.003419083752172118,0.0017460533327431876
9,V219,0.003396934511038537,0.0025661537128603283
10,V218,0.003243617577207288,0.0012962363789796568
11,V221,0.003051369528365651,0.002058826320490011
12,V305_05,0.0029334857155805566,0.0016727841301508951
13,V208,0.002874557971106895,0.0021202765477484845
14,V209,0.0025792111527943805,0.0005710785784230776
15,V217,0.0018658894605583897,0.000722751099219895
16,V235,0.0014843248800839796,0.0011753458294069183
17,V394,0.0013395617452582665,0.0010851904892258165
18,V206,0.001275040042825674,0.0011950052391287462
19,V220,0.0011515339482439065,0.0018534865743151405
20,V359,0.0009891675482461466,0.001816020233986622
21,V384C,0.0009646391047401614,0.0015737943788851601
22,V207,0.0008069178141361914,0.00035756903851207484
23,V305_10,0.0007911414365001054,0.0009321365438647171
24,V201,0.0003483690426118328,0.0015435496080901435
25,V305_11,0.00033283341759677844,0.000262723999872249
26,V305_15,0.0003306666440076045,0.00022149768758375658
27,V302,0.0003271261642867914,0.0003398559265136264
28,V202,0.00029945377478871976,0.0007211044541498951
29,V307_03,0.00023371414733213135,0.0008740248749197579
30,V224,0.00019260209681373208,0.001150486176832629
31,V204,0.00012751391762581368,0.00025519935950416207
32,V305_16,9.885019380588093e-05,0.0005862563087369338
33,V305_09,5.700172350554163e-05,0.0010547330427728774
34,V364,9.049466166510811e-06,0.0007379488153012195
35,V311,6.556968443049982e-06,8.146651192494609e-05
36,V210,0.0,0.0
37,V227,0.0,0.0
38,V216,0.0,0.0
39,V213,0.0,0.0
40,ID1,0.0,0.0
41,V361,0.0,0.0
42,V305_14,0.0,0.0
43,V318,0.0,0.0
44,V316,0.0,0.0
45,V305_03,0.0,0.0
46,V384A,-2.8323837741872636e-08,3.7092333880247777e-07
47,V312,-9.120275760832186e-06,0.0008846633391292995
48,V313,-3.3082242511498865e-05,9.148662515937927e-05
49,V226,-3.421519602216557e-05,0.00015818076289942593
50,V310,-8.315878768305011e-05,0.00030573531847546433
51,V305_07,-0.00014313451415408628,0.0002857414004730835
52,QI302_05B,-0.00016075194124497797,0.0007745358734507679
53,V305_13,-0.00019078937119661651,0.00047159748614888583
54,V215,-0.0002120322495216505,0.001028228990844249
55,V384B,-0.00023787775148376156,0.00023076981573371902
56,V393,-0.00025206799420489644,0.0005611863962024505
57,V305_02,-0.0002675469715444079,0.0009359699098235298
58,V315,-0.00026899148727056087,0.0012493544791655042
59,V203,-0.00027825338222025784,0.00028005512597628797
60,V305_08,-0.0004374616743070122,0.00024549420259698516
61,QI302_05A,-0.0004514394882448573,0.0005698204975043516
62,V205,-0.0004903139555796872,0.00025874622095215584
63,V360,-0.0006152928897253644,0.0018669124200043547
64,V305_01,-0.0008239829263905652,0.0014208424154354953
