rank,feature,importance_mean,importance_std
1,M14,0.18765913075674898,0.012693014205232816
2,M13,0.05777685212410279,0.004860219623020782
3,M17,0.023813529789713146,0.005710384186504369
4,M7,0.0037339235736764415,0.003850823266462102
5,M3A,0.003731473313948919,0.001710552132627014
6,M57I,0.0029182593354894148,0.0014355583930833254
7,M3H,0.001130658738715066,0.0009372267084504731
8,M57O,0.0010604179598591686,0.0013113427688335464
9,M57G,0.0009281039345725217,0.0010151714569538025
10,M3B,0.000589423590011536,0.0005612679051037268
11,M57M,0.0005786696723184622,0.0011182029514107657
12,M57K,0.0004639158417457804,0.0009949279324714803
13,M57X,0.0003438531150967335,0.00024487255661561377
14,M8,0.0003066908425624885,0.0011695249076208447
15,M2B,0.0002861358859593377,0.0010939346558543129
16,M57Q,0.00018322497740306994,0.0006424269474867081
17,M66,0.0001516438520259733,0.0001726866093273973
18,M57E,0.0001494658433792632,0.00024705851814586213
19,M3E,0.0,0.0
20,M57J,0.0,0.0
21,M57S,0.0,0.0
22,M2E,0.0,0.0
23,M2G,0.0,0.0
24,M2K,0.0,0.0
25,M2N,0.0,0.0
26,BIDX_x,0.0,0.0
27,M57P,-0.00010672242368809185,0.000258335434051193
28,M3N,-0.0001432040685202492,0.0005262757755498367
29,M57L,-0.0001535496095920778,0.00035349409954380185
30,M3C,-0.00022705740141804043,0.000667785562617673
31,M2D,-0.000309004976749927,0.0006070655797045789
32,M3K,-0.0003484813834712256,0.0004959462768694551
33,M57F,-0.00042716194583304704,0.00032285282155805915
34,M2A,-0.0005769000402932933,0.0016191917370482027
35,M3D,-0.0007173815980050662,0.00075271934321104
36,M54,-0.0007688370522832185,0.0008874309527783555
37,M3G,-0.0009928996918118955,0.0015052844737185474
38,M9,-0.001000522722075344,0.002517665771935707
39,M11,-0.0035863634878631717,0.0025627544418768996
40,M6,-0.004089619610789974,0.002059664249079422
41,M2C,-0.004574907162381558,0.0028959784495226947
